EmployeeID,Age,Gender,Department,Salary,YearsAtCompany,Rating,WorkLifeBalance,Remote,Attrition
E001,23,Male,Engineering,42000,1,3,2,Yes,Yes
E002,29,Female,Engineering,65000,4,4,3,No,No
E003,35,Male,Sales,58000,6,4,2,No,Yes
E004,41,Female,HR,72000,10,5,4,Yes,No
E005,26,Male,Engineering,48000,2,2,1,No,Yes
E006,31,Female,Marketing,54000,5,3,3,Yes,No
E007,38,Male,Engineering,85000,9,5,4,No,No
E008,45,Female,Sales,90000,15,4,2,No,Yes
E009,28,Male,Marketing,50000,3,3,2,Yes,Yes
E010,34,Female,Engineering,78000,7,4,3,Yes,No
E011,39,Male,HR,68000,11,4,3,No,No
E012,24,Female,Engineering,40000,1,2,1,No,Yes
E013,33,Male,Sales,62000,6,3,2,No,Yes
E014,37,Female,Marketing,70000,8,4,4,Yes,No
E015,42,Male,Engineering,92000,14,5,4,No,No
E016,27,Female,HR,46000,2,3,2,Yes,Yes
E017,36,Male,Sales,76000,9,4,3,No,No
E018,30,Female,Engineering,69000,5,4,3,Yes,No
E019,48,Male,Marketing,88000,18,5,4,No,No
E020,25,Female,Engineering,43000,1,2,1,No,Yes
